"","result","genre","rating","runtime","imdb","tomato","audience"
"Shane","Nominee","Drama","G",118,7.6,97,81
"Marty","Winner","Drama","NR",90,7.7,98,87
"Patton","Winner","Biography","PG",172,7.9,94,93
"The Conversation","Nominee","Drama","PG",113,7.8,96,90
"All the President's Men","Nominee","Biography","PG",138,8,94,92
"Annie Hall","Winner","Comedy","PG",93,8,98,92
"Field of Dreams","Nominee","Drama","PG",107,7.5,87,86
"The Fugitive","Nominee","Action","PG-13",130,7.8,96,89
"Babe","Nominee","Comedy","G",91,6.8,97,67
"The Full Monty","Nominee","Comedy","R",91,7.2,96,79
"The Sixth Sense","Nominee","Drama","PG-13",107,8.1,86,90
"Slumdog Millionaire","Winner","Drama","R",120,8,91,90
"District 9","Nominee","Action","R",112,7.9,90,82
"Inglourious Basterds","Nominee","Adventure","R",153,8.3,89,88
"The Help","Nominee","Drama","PG-13",146,8,76,89
"Hell or High Water","Nominee","Action","R",102,7.6,97,88
"BlacKkKlansman","Nominee","Biography","R",135,7.5,96,83
"Sunset Boulevard","Nominee","Drama","G",110,8.4,99,95
"A Place in the Sun","Nominee","Drama","NR",122,7.8,77,84
"The Quiet Man","Nominee","Comedy","G",129,7.8,91,91
"From Here to Eternity","Winner","Drama","G",118,7.6,92,84
"Mary Poppins","Nominee","Comedy","G",139,7.8,100,86
"Alfie","Nominee","Comedy","PG",114,7,96,76
"In the Heat of the Night","Winner","Crime","G",110,7.9,95,92
"Bonnie and Clyde","Nominee","Action","R",111,7.8,88,88
"Rachel, Rachel","Nominee","Drama","R",101,7.3,86,77
"American Graffiti","Nominee","Comedy","PG",110,7.4,96,84
"Kiss of the Spider Woman","Nominee","Drama","R",120,7.4,87,81
"Unforgiven","Winner","Drama","R",130,8.2,96,93
"The Yearling","Nominee","Drama","G",128,7.2,100,76
"It's a Wonderful Life","Nominee","Drama","PG",130,8.6,94,95
"Born Yesterday","Nominee","Comedy","NR",103,7.6,97,86
"Decision Before Dawn","Nominee","Drama","NR",119,7.2,100,71
"Moulin Rouge","Nominee","Biography","NR",119,7.1,78,90
"The Country Girl","Nominee","Drama","NR",104,7.3,86,77
"The Rose Tattoo","Nominee","Comedy","NR",117,7,67,74
"Witness for the Prosecution","Nominee","Crime","NR",116,8.4,100,95
"Peyton Place","Nominee","Drama","NR",157,7.2,65,72
"Separate Tables","Nominee","Drama","G",100,7.4,69,76
"Auntie Mame","Nominee","Comedy","NR",143,7.9,93,93
"The Sundowners","Nominee","Adventure","NR",133,7.1,75,62
"Lawrence of Arabia","Winner","Adventure","PG",228,8.3,98,93
"America America","Nominee","Drama","NR",174,7.8,67,85
"Zorba the Greek","Nominee","Comedy","NR",142,7.7,80,86
"Doctor Zhivago","Nominee","Drama","PG-13",197,8,84,88
"A Man for All Seasons","Winner","Biography","G",120,7.7,83,87
"Guess Who's Coming to Dinner","Nominee","Comedy","NR",108,7.8,70,85
"Doctor Dolittle","Nominee","Adventure","G",152,6.2,29,57
"The Graduate","Nominee","Comedy","PG",106,8,87,90
"Oliver!","Winner","Drama","G",153,7.4,82,81
"Hello, Dolly!","Nominee","Adventure","G",146,7.1,43,76
"Anne of the Thousand Days","Nominee","Biography","PG",145,7.5,38,83
"Love Story","Nominee","Drama","PG",100,6.9,68,75
"M*A*S*H","Nominee","Comedy","PG",116,7.5,87,83
"Nicholas and Alexandra","Nominee","Biography","PG",183,7.2,67,78
"A Clockwork Orange","Nominee","Crime","R",136,8.3,88,93
"Cabaret","Nominee","Drama","PG",124,7.8,93,87
"Cries and Whispers","Nominee","Drama","R",91,8.1,90,91
"The Sting","Winner","Comedy","PG",129,8.3,94,95
"The Exorcist","Nominee","Horror","R",122,8,83,87
"The Towering Inferno","Nominee","Action","PG",165,7,69,72
"The Deer Hunter","Winner","Drama","R",183,8.1,93,92
"Kramer vs. Kramer","Winner","Drama","PG",105,7.8,88,89
"Raging Bull","Nominee","Biography","R",129,8.2,93,93
"On Golden Pond","Nominee","Drama","PG",109,7.6,93,87
"Tootsie","Nominee","Comedy","PG",116,7.4,90,81
"Gandhi","Winner","Biography","PG",191,8,85,92
"The Verdict","Nominee","Drama","R",129,7.7,88,88
"The Big Chill","Nominee","Comedy","R",105,7.2,68,77
"The Dresser","Nominee","Drama","PG",118,7.6,100,87
"A Passage to India","Nominee","Adventure","PG",164,7.3,76,78
"The Color Purple","Nominee","Drama","PG-13",154,7.8,81,94
"Out of Africa","Winner","Biography","PG",161,7.2,59,83
"Platoon","Winner","Drama","R",120,8.1,88,93
"Broadcast News","Nominee","Comedy","R",133,7.2,98,79
"Moonstruck","Nominee","Comedy","PG",102,7.1,93,81
"Mississippi Burning","Nominee","Crime","R",128,7.8,84,90
"Rain Man","Winner","Drama","R",133,8,89,90
"Working Girl","Nominee","Comedy","R",113,6.8,84,67
"The Accidental Tourist","Nominee","Drama","PG",121,6.8,81,60
"Born on the Fourth of July","Nominee","Biography","R",145,7.2,85,76
"Awakenings","Nominee","Biography","PG-13",121,7.8,88,89
"Bugsy","Nominee","Biography","R",136,6.8,85,69
"JFK","Nominee","Drama","R",189,8,84,88
"The Prince of Tides","Nominee","Drama","R",132,6.7,69,70
"A Few Good Men","Nominee","Drama","R",138,7.7,83,89
"Scent of a Woman","Nominee","Drama","R",156,8,89,92
"Schindler's List","Winner","Biography","R",195,8.9,97,97
"In the Name of the Father","Nominee","Biography","R",133,8.1,94,95
"Good Will Hunting","Nominee","Drama","R",126,8.3,97,94
"Titanic","Winner","Drama","PG-13",194,7.8,89,69
"As Good as It Gets","Nominee","Comedy","PG-13",139,7.7,85,86
"The Thin Red Line","Nominee","Drama","R",170,7.6,80,80
"Shakespeare in Love","Winner","Comedy","R",123,7.1,92,80
"The Cider House Rules","Nominee","Drama","PG-13",126,7.4,71,77
"The Green Mile","Nominee","Crime","R",189,8.6,78,94
"Chocolat","Nominee","Drama","PG-13",121,7.2,62,83
"Traffic","Nominee","Crime","R",147,7.6,93,85
"The Lord of the Rings: The Fellowship of the Ring","Nominee","Action","PG-13",178,8.8,91,95
"A Beautiful Mind","Winner","Biography","PG-13",135,8.2,74,93
"Gosford Park","Nominee","Comedy","R",131,7.2,86,78
"The Lord of the Rings: The Two Towers","Nominee","Action","PG-13",179,8.7,95,95
"Gangs of New York","Nominee","Crime","R",167,7.5,73,81
"Chicago","Winner","Comedy","PG-13",113,7.2,86,83
"The Hours","Nominee","Drama","PG-13",110,7.5,80,84
"The Pianist","Nominee","Biography","R",150,8.5,95,96
"The Lord of the Rings: The Return of the King","Winner","Action","PG-13",201,8.9,93,86
"Million Dollar Baby","Winner","Drama","PG-13",132,8.1,91,90
"The Aviator","Nominee","Biography","PG-13",170,7.5,86,79
"Brokeback Mountain","Nominee","Drama","R",134,7.7,87,82
"Munich","Nominee","Action","R",164,7.5,78,83
"Letters from Iwo Jima","Nominee","Action","R",141,7.9,91,86
"Juno","Nominee","Comedy","PG-13",96,7.4,94,88
"There Will Be Blood","Nominee","Drama","R",158,8.2,92,86
"Frost/Nixon","Nominee","Biography","R",122,7.7,93,88
"The Reader","Nominee","Drama","R",124,7.6,63,79
"The Curious Case of Benjamin Button","Nominee","Drama","PG-13",166,7.8,72,80
"Up in the Air","Nominee","Comedy","R",109,7.4,91,79
"Avatar","Nominee","Action","PG-13",162,7.8,82,82
"Black Swan","Nominee","Drama","R",108,8,85,84
"The Fighter","Nominee","Biography","R",116,7.8,90,89
"True Grit","Nominee","Drama","PG-13",110,7.6,96,85
"War Horse","Nominee","Action","PG-13",146,7.2,75,74
"Amour","Nominee","Drama","PG-13",127,7.9,93,82
"Django Unchained","Nominee","Drama","R",165,8.4,87,91
"Les Misérables","Nominee","Drama","PG-13",158,7.6,69,79
"Her","Nominee","Drama","R",126,8,95,82
"American Hustle","Nominee","Crime","R",138,7.2,92,74
"The Wolf of Wall Street","Nominee","Biography","R",180,8.2,80,83
"Selma","Nominee","Biography","PG-13",128,7.5,99,86
"The Big Short","Nominee","Biography","R",130,7.8,88,88
"The Revenant","Nominee","Action","R",156,8,78,84
"La La Land","Nominee","Comedy","PG-13",128,8,91,81
"Manchester by the Sea","Nominee","Drama","R",137,7.8,96,78
"Fences","Nominee","Drama","PG-13",139,7.2,92,75
"Three Billboards Outside Ebbing, Missouri","Nominee","Comedy","R",115,8.1,90,87
"The Shape of Water","Winner","Adventure","R",123,7.3,92,72
"Darkest Hour","Nominee","Biography","PG-13",125,7.4,84,82
"Vice","Nominee","Biography","R",132,7.2,65,60
"The Greatest Show on Earth","Winner","Drama","NR",152,6.6,42,54
"Z","Nominee","Crime","PG",127,8.3,93,93
"Taxi Driver","Nominee","Crime","R",114,8.2,96,93
"Witness","Nominee","Crime","R",112,7.4,93,80
"Hannah and Her Sisters","Nominee","Comedy","PG-13",107,7.9,91,90
"The Silence of the Lambs","Winner","Crime","R",118,8.6,96,95
"Get Out","Nominee","Horror","R",104,7.7,98,86
"Black Panther","Nominee","Action","PG-13",134,7.3,96,79
"Anchors Aweigh","Nominee","Comedy","NR",140,7.1,62,79
"The Razor's Edge","Nominee","Drama","NR",145,7.4,71,72
"Crossfire","Nominee","Crime","NR",86,7.3,82,74
"Miracle on 34th Street","Nominee","Comedy","NR",96,7.9,96,87
"The Treasure of the Sierra Madre","Nominee","Adventure","NR",126,8.2,100,93
"Twelve O'Clock High","Nominee","Drama","NR",132,7.7,96,87
"A Letter to Three Wives","Nominee","Drama","NR",103,7.7,94,86
"All About Eve","Winner","Drama","PG",138,8.2,99,94
"Father of the Bride","Nominee","Comedy","G",92,7.2,90,74
"Friendly Persuasion","Nominee","Drama","NR",137,7.4,88,81
"Tom Jones","Winner","Adventure","NR",129,6.5,82,58
"Lilies of the Field","Nominee","Drama","NR",94,7.6,91,86
